File,Total Lines,Code Lines,Comment Lines,Blank Lines,Cyclomatic Complexity,Cognitive Complexity,Maintainability Index,Functions,Classes,Max Nesting,Halstead Volume,Halstead Difficulty,Halstead Effort,Estimated Bugs
Zenith\Flux\MeshAnimation\Flux_SkeletonInstance.h,178,49,97,32,3,2,40.01,4,1,0,1757.32,22.91,40265.56,0.586
Zenith\Flux\MeshGeometry\Flux_MeshGeometry.cpp,621,524,27,71,58,76,0.70,17,0,3,39478.50,140.50,5546533.32,13.159
Zenith\Flux\MeshGeometry\Flux_MeshGeometry.h,168,123,10,35,17,16,26.06,16,6,1,5270.16,25.34,133566.94,1.757
Zenith\Flux\MeshGeometry\Flux_MeshInstance.cpp,652,472,89,105,59,43,2.80,15,0,2,26219.90,159.81,4190142.05,8.740
Zenith\Flux\MeshGeometry\Flux_MeshInstance.h,116,38,62,16,3,2,43.95,2,4,0,1061.04,14.19,15060.94,0.354
Zenith\Flux\Particles\Flux_ParticleData.h,100,64,26,18,2,0,36.16,22,2,0,2827.88,27.16,76799.37,0.943
Zenith\Flux\Particles\Flux_ParticleEmitterConfig.cpp,107,93,1,14,16,22,29.35,1,0,2,4466.25,25.49,113825.67,1.489
Zenith\Flux\Particles\Flux_ParticleEmitterConfig.h,353,173,99,81,8,5,23.30,12,1,1,6726.00,48.22,324342.77,2.242
Zenith\Flux\Particles\Flux_ParticleGPU.cpp,447,315,47,90,29,34,12.54,15,2,3,14122.70,62.19,878323.35,4.708
Zenith\Flux\Particles\Flux_ParticleGPU.h,80,24,44,13,1,0,50.79,0,2,0,510.91,6.83,3491.18,0.170
Zenith\Flux\Particles\Flux_Particles.cpp,285,207,25,53,20,22,19.23,11,0,2,8626.46,37.75,325648.72,2.875
Zenith\Flux\Particles\Flux_Particles.h,21,15,1,6,1,0,57.68,0,3,0,229.25,5.10,1169.17,0.076
Zenith\Flux\Primitives\Flux_Primitives.cpp,1195,892,131,188,73,90,0.00,34,9,2,61202.20,128.18,7844773.22,20.401
Zenith\Flux\Primitives\Flux_Primitives.h,206,37,147,23,1,0,41.72,0,1,0,2617.88,18.09,47367.30,0.873
Zenith\Flux\Quads\Flux_Quads.cpp,137,105,9,32,5,4,29.80,8,0,1,4288.58,29.11,124837.79,1.430
Zenith\Flux\Quads\Flux_Quads.h,51,41,0,10,1,0,42.84,1,4,0,1317.24,15.83,20856.25,0.439
Zenith\Flux\RenderGraph\Flux_RenderGraph.cpp,2017,1475,398,159,302,432,0.00,91,4,4,88473.50,163.49,14464472.63,29.491
Zenith\Flux\RenderGraph\Flux_RenderGraph.h,655,301,314,52,34,34,12.01,17,17,1,15564.53,41.04,638763.69,5.188
Zenith\Flux\RenderGraph\Flux_RenderGraph_Compilation.cpp,382,310,41,31,79,135,5.42,16,0,4,16913.42,92.52,1564779.33,5.638
Zenith\Flux\RenderGraph\Flux_RenderGraph_Execution.cpp,350,240,81,28,52,97,12.87,16,2,4,10705.24,52.13,558039.84,3.568
Zenith\Flux\SDFs\Flux_SDFs.cpp,140,108,2,30,3,2,29.82,7,2,1,4263.00,24.14,102909.62,1.421
Zenith\Flux\SDFs\Flux_SDFs.h,19,14,0,5,1,0,58.63,0,3,0,208.08,5.14,1070.15,0.069
Zenith\Flux\Shaders\Generated\AnimatedMeshes.h,135,110,47,5,1,0,31.15,0,6,0,2844.33,13.67,38872.44,0.948
Zenith\Flux\Shaders\Generated\ComputeTest.h,48,31,13,5,1,0,48.60,0,1,0,473.65,9.96,4718.30,0.158
Zenith\Flux\Shaders\Generated\DeferredShading.h,200,166,60,4,1,0,25.30,0,6,0,5409.58,12.26,66326.15,1.803
Zenith\Flux\Shaders\Generated\DynamicLights.h,79,62,31,4,1,0,38.24,0,2,0,1646.49,12.22,20120.71,0.549
Zenith\Flux\Shaders\Generated\FluxShaderProgram.h,71,61,7,3,1,0,38.47,0,1,0,1607.93,3.00,4823.79,0.536
Zenith\Flux\Shaders\Generated\Fog.h,593,522,225,10,1,0,10.64,0,22,0,18887.89,28.48,537834.74,6.296
Zenith\Flux\Shaders\Generated\Gizmos.h,65,51,29,4,1,0,40.75,0,2,0,1327.79,12.25,16265.38,0.443
Zenith\Flux\Shaders\Generated\HDR.h,216,177,62,9,1,0,24.73,0,6,0,5340.25,23.18,123775.14,1.780
Zenith\Flux\Shaders\Generated\HiZ.h,49,34,15,4,1,0,46.47,0,1,0,716.27,10.06,7208.88,0.239
Zenith\Flux\Shaders\Generated\IBL.h,126,104,52,6,1,0,31.69,0,4,0,2838.17,20.76,58916.40,0.946
Zenith\Flux\Shaders\Generated\InstancedMeshes.h,194,157,62,6,1,0,26.39,0,5,0,4486.97,14.70,65958.41,1.496
Zenith\Flux\Shaders\Generated\Particles.h,95,74,35,5,1,0,36.04,0,2,0,1956.05,12.00,23472.59,0.652
Zenith\Flux\Shaders\Generated\Primitives.h,60,46,27,4,1,0,42.31,0,2,0,1094.17,11.04,12084.52,0.365
Zenith\Flux\Shaders\Generated\Quads.h,62,45,26,5,1,0,42.88,0,1,0,974.09,10.91,10624.41,0.325
Zenith\Flux\Shaders\Generated\SDFs.h,59,45,27,4,1,0,42.69,0,2,0,1036.86,10.82,11216.97,0.346
Zenith\Flux\Shaders\Generated\Skybox.h,196,170,88,7,1,0,25.11,0,6,0,5335.44,26.34,140522.03,1.778
Zenith\Flux\Shaders\Generated\SSAO.h,126,100,42,6,1,0,32.21,0,3,0,2697.56,16.30,43970.19,0.899
Zenith\Flux\Shaders\Generated\SSGI.h,225,187,73,7,1,0,23.78,0,4,0,6143.05,20.88,128243.04,2.048
Zenith\Flux\Shaders\Generated\SSR.h,268,235,106,6,1,0,20.62,0,5,0,8518.89,29.15,248286.94,2.840
Zenith\Flux\Shaders\Generated\StaticMeshes.h,115,92,43,5,1,0,33.44,0,4,0,2337.07,12.89,30135.87,0.779
Zenith\Flux\Shaders\Generated\Terrain.h,245,195,67,7,1,0,23.55,0,5,0,5808.03,11.38,66119.79,1.936
